"File","Line","Kind","Name","Value","Text"
"1.6\Source\WRace\bondageclothes束具的编程\奴隶服装的自定义属性类SlaveApperalDef.cs","16","FieldOrLocalAssignment","equipped_hediff","null","public HediffDef equipped_hediff = null;"
"1.6\Source\WRace\bondageclothes束具的编程\奴隶服装的自定义属性类SlaveApperalDef.cs","18","FieldOrLocalAssignment","gives_bound_moodlet","false","public bool gives_bound_moodlet = false;"
"1.6\Source\WRace\bondageclothes束具的编程\奴隶服装的自定义属性类SlaveApperalDef.cs","20","FieldOrLocalAssignment","gives_gagged_moodlet","false","public bool gives_gagged_moodlet = false;"
"1.6\Source\WRace\bondageclothes束具的编程\奴隶服装的自定义属性类SlaveApperalDef.cs","22","FieldOrLocalAssignment","blocks_hands","false","public bool blocks_hands = false;"
"1.6\Source\WRace\bondageclothes束具的编程\奴隶服装的自定义属性类SlaveApperalDef.cs","23","FieldOrLocalAssignment","blocks_oral","false","public bool blocks_oral = false;"
"1.6\Source\WRace\bondageclothes束具的编程\奴隶服装的自定义属性类SlaveApperalDef.cs","24","FieldOrLocalAssignment","blocks_penis","false","public bool blocks_penis = false;"
"1.6\Source\WRace\bondageclothes束具的编程\奴隶服装的自定义属性类SlaveApperalDef.cs","25","FieldOrLocalAssignment","blocks_vagina","false","public bool blocks_vagina = false;"
"1.6\Source\WRace\bondageclothes束具的编程\奴隶服装的自定义属性类SlaveApperalDef.cs","26","FieldOrLocalAssignment","blocks_anus","false","public bool blocks_anus = false;"
"1.6\Source\WRace\bondageclothes束具的编程\奴隶服装的自定义属性类SlaveApperalDef.cs","27","FieldOrLocalAssignment","blocks_breasts","false","public bool blocks_breasts = false;"
"1.6\Source\WRace\bondageclothes束具的编程\奴隶服装的自定义属性类SlaveApperalDef.cs","30","FieldOrLocalAssignment","unlockTick","100","public int unlockTick = 100;"
"1.6\Source\WRace\bondageclothes束具的编程\奴隶服装的自定义属性类SlaveApperalDef.cs","30","NumericLiteral","","100","public int unlockTick = 100;"
"1.6\Source\WRace\bondageclothes束具的编程\奴隶服装的自定义属性类SlaveApperalDef.cs","32","FieldOrLocalAssignment","needkeynumber","2","public int needkeynumber = 2;"
"1.6\Source\WRace\bondageclothes束具的编程\奴隶服装的自定义属性类SlaveApperalDef.cs","32","NumericLiteral","","2","public int needkeynumber = 2;"
"1.6\Source\WRace\bondageclothes束具的编程\奴隶服装的自定义属性类SlaveApperalDef.cs","34","FieldOrLocalAssignment","keytype","null","public ThingDef keytype = null;"
"1.6\Source\WRace\bondageclothes束具的编程\奴隶服装的自定义属性类SlaveApperalDef.cs","50","FieldOrLocalAssignment","isLocked","true","public bool isLocked = true;"
"1.6\Source\WRace\bondageclothes束具的编程\奴隶服装的自定义属性类SlaveApperalDef.cs","52","FieldOrLocalAssignment","SlaveDef","> this.def as SlaveApparelDef","public SlaveApparelDef SlaveDef => this.def as SlaveApparelDef;"
"1.6\Source\WRace\bondageclothes束具的编程\奴隶服装的自定义属性类SlaveApperalDef.cs","71","FieldOrLocalAssignment","slaveDef","this.def as SlaveApparelDef","var slaveDef = this.def as SlaveApparelDef;"
"1.6\Source\WRace\bondageclothes束具的编程\奴隶服装的自定义属性类SlaveApperalDef.cs","87","ScribeDefault","isLocked","false","Scribe_Values.Look(ref isLocked, ""isLocked"", false);"
"1.6\Source\WRace\bondageclothes束具的编程\奴隶服装的自定义属性类SlaveApperalDef.cs","93","FieldOrLocalAssignment","def","this.def as SlaveApparelDef","var def = this.def as SlaveApparelDef;"
"1.6\Source\WRace\bondageclothes束具的编程\奴隶服装的自定义属性类SlaveApperalDef.cs","101","FieldOrLocalAssignment","bodyParts","pawn.RaceProps.body.AllParts.FindAll(part => part.def == partDef)","List<BodyPartRecord> bodyParts = pawn.RaceProps.body.AllParts.FindAll(part => part.def == partDef);"
"1.6\Source\WRace\bondageclothes束具的编程\奴隶服装的自定义属性类SlaveApperalDef.cs","118","FieldOrLocalAssignment","def","this.def as SlaveApparelDef","var def = this.def as SlaveApparelDef;"
"1.6\Source\WRace\bondageclothes束具的编程\奴隶服装的自定义属性类SlaveApperalDef.cs","140","FieldOrLocalAssignment","stuff","this.Stuff ?? GenStuff.DefaultStuffFor(nextDef)","ThingDef stuff = this.Stuff ?? GenStuff.DefaultStuffFor(nextDef);"
"1.6\Source\WRace\bondageclothes束具的编程\奴隶服装的自定义属性类SlaveApperalDef.cs","141","FieldOrLocalAssignment","nextApparel","(Apparel)ThingMaker.MakeThing(nextDef, stuff)","Apparel nextApparel = (Apparel)ThingMaker.MakeThing(nextDef, stuff);"
