"File","Kind","DefType","DefName","Field","Path","IsNumeric","Value"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","thingClass","/Defs[1]/MooGirl_ApparelBase[1]/thingClass[1]","False","Apparel"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","category","/Defs[1]/MooGirl_ApparelBase[1]/category[1]","False","Item"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","selectable","/Defs[1]/MooGirl_ApparelBase[1]/selectable[1]","False","True"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","pathCost","/Defs[1]/MooGirl_ApparelBase[1]/pathCost[1]","True","10"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","useHitPoints","/Defs[1]/MooGirl_ApparelBase[1]/useHitPoints[1]","False","True"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","techLevel","/Defs[1]/MooGirl_ApparelBase[1]/techLevel[1]","False","Industrial"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","onGroundRandomRotateAngle","/Defs[1]/MooGirl_ApparelBase[1]/graphicData[1]/onGroundRandomRotateAngle[1]","True","35"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","graphicClass","/Defs[1]/MooGirl_ApparelBase[1]/graphicData[1]/graphicClass[1]","False","Graphic_Single"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","drawGUIOverlay","/Defs[1]/MooGirl_ApparelBase[1]/drawGUIOverlay[1]","False","true"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","MaxHitPoints","/Defs[1]/MooGirl_ApparelBase[1]/statBases[1]/MaxHitPoints[1]","True","100"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","Flammability","/Defs[1]/MooGirl_ApparelBase[1]/statBases[1]/Flammability[1]","True","0.4"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","DeteriorationRate","/Defs[1]/MooGirl_ApparelBase[1]/statBases[1]/DeteriorationRate[1]","True","1"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","Beauty","/Defs[1]/MooGirl_ApparelBase[1]/statBases[1]/Beauty[1]","True","1"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","altitudeLayer","/Defs[1]/MooGirl_ApparelBase[1]/altitudeLayer[1]","False","Item"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","alwaysHaulable","/Defs[1]/MooGirl_ApparelBase[1]/alwaysHaulable[1]","False","True"
"1.6\Defs\Apparel\Apparel_Base.xml","ElementText","MooGirl_ApparelBase","Name:MooGirl_ApparelBase","tickerType","/Defs[1]/MooGirl_ApparelBase[1]/tickerType[1]","False","Never"
