"File","Line","Class","Kind","Text"
"1.6\Source\WRace\bondageclothes束具的编程\AdultContentControl.cs","294","AdultContentCleanupGameComponent","HarmonyPatchAttribute","[HarmonyPatch(typeof(ThingSetMaker_TraderStock), ""Generate"")]"
"1.6\Source\WRace\bondageclothes束具的编程\AdultContentControl.cs","297","Patch_ThingSetMaker_TraderStock_Generate","PostfixMethod","public static void Postfix(List<Thing> outThings)"
"1.6\Source\WRace\bondageclothes束具的编程\Harmony_ApparelTracker_Unlock.cs","10","","HarmonyPatchAttribute","[HarmonyPatch(typeof(Pawn_ApparelTracker), ""Unlock"")]"
"1.6\Source\WRace\bondageclothes束具的编程\Harmony_ApparelTracker_Unlock.cs","13","Pawn_ApparelTracker_Unlock_Patch","PrefixMethod","public static bool Prefix(Apparel apparel)"
"1.6\Source\WRace\bondageclothes束具的编程\Harmony_DropThingTooltip.cs","11","","HarmonyPatchAttribute","[HarmonyPatch(typeof(ITab_Pawn_Gear), ""DrawThingRow"")]"
"1.6\Source\WRace\bondageclothes束具的编程\Harmony_DropThingTooltip.cs","14","ITab_Pawn_Gear_DrawThingRow_Transpiler","TranspilerMethod","public static IEnumerable<CodeInstruction> Transpiler(IEnumerable<CodeInstruction> instructions)"
"1.6\Source\WRace\bondageclothes束具的编程\Harmony_DropThingTooltip.cs","34","ITab_Pawn_Gear_DrawThingRow_Transpiler","AccessToolsReflection","AccessTools.Method("
"1.6\Source\WRace\bondageclothes束具的编程\Harmony_InitiateSlaveRebellionMtbDays.cs","7","","HarmonyPatchAttribute","[HarmonyPatch(typeof(SlaveRebellionUtility), ""InitiateSlaveRebellionMtbDays"")]"
"1.6\Source\WRace\bondageclothes束具的编程\Harmony_InitiateSlaveRebellionMtbDays.cs","10","Patch_SlaveRebellionUtility_InitiateSlaveRebellionMtbDays","PrefixMethod","public static bool Prefix(Pawn pawn, ref float __result)"
"1.6\Source\WRace\bondageclothes束具的编程\Harmony_PawnGenerator_Patch.cs","14","PawnGenerator_GeneratePawn_Patch","AccessToolsReflection","AccessTools.Method(typeof(PawnGenerator), ""GeneratePawn"", new Type[] { typeof(PawnGenerationRequest) }),"
"1.6\Source\WRace\bondageclothes束具的编程\Harmony_PawnGenerator_Patch.cs","19","PawnGenerator_GeneratePawn_Patch","PostfixMethod","public static void Postfix(Pawn __result)"
"1.6\Source\WRace\bondageclothes束具的编程\Harmony_PawnStoryTracker_SkinColor.cs","23","GameComponent_MooGirlSkinOnce","HarmonyPatchAttribute","[HarmonyPatch(typeof(Pawn_StoryTracker), nameof(Pawn_StoryTracker.SkinColor), MethodType.Getter)]"
"1.6\Source\WRace\bondageclothes束具的编程\Harmony_PawnStoryTracker_SkinColor.cs","29","Patch_PawnStoryTracker_SkinColor","PostfixMethod","public static void Postfix("
"1.6\Source\WRace\bondageclothes束具的编程\Mod.cs","13","MooGirlMod","HarmonyInstance","harmony = new Harmony(""MooGirlMod.Mod"");"
"1.6\Source\WRace\bondageclothes束具的编程\Mod.cs","14","MooGirlMod","PatchAllCall","harmony.PatchAll();"
"1.6\Source\WRace\GeneAndAbility\MooGirl_XenotypeFix_GameComp.cs","68","MooGirlBirthXenotypeUtility","HarmonyPatchAttribute","[HarmonyPatch(typeof(PawnUtility), nameof(PawnUtility.TrySpawnHatchedOrBornPawn))]"
"1.6\Source\WRace\GeneAndAbility\MooGirl_XenotypeFix_GameComp.cs","71","Harmony_PawnUtility_TrySpawnHatchedOrBornPawn_MooGirlXenotype","PrefixMethod","public static void Prefix(Pawn pawn, Thing motherOrEgg)"
"1.6\Source\WRace\GeneAndAbility\MooGirl_XenotypeFix_GameComp.cs","76","Harmony_PawnUtility_TrySpawnHatchedOrBornPawn_MooGirlXenotype","PostfixMethod","public static void Postfix(Pawn pawn, Thing motherOrEgg)"
"1.6\Source\WRace\MooGirlMilked 挤奶相关的编程\Harmony_Apparel_PawnCanWear_MilkingDevice.cs","7","","HarmonyPatchAttribute","[HarmonyPatch(typeof(Apparel), nameof(Apparel.PawnCanWear))]"
"1.6\Source\WRace\MooGirlMilked 挤奶相关的编程\Harmony_Apparel_PawnCanWear_MilkingDevice.cs","10","Harmony_Apparel_PawnCanWear_MilkingDevice","PostfixMethod","public static void Postfix(Apparel __instance, Pawn pawn, ref bool __result)"
"1.6\Source\WRace\MooGirlMilked 挤奶相关的编程\Harmony_MooGirlBabyFeeding.cs","138","MooGirlBabyFeedingUtility","HarmonyPatchAttribute","[HarmonyPatch(typeof(ChildcareUtility), nameof(ChildcareUtility.CanBreastfeed))]"
